,counts,species_common_name,uploaded,%
Murid,8411,Murid,77,0.9
Human,3266,Human,55,1.7
Ferret-badger,2161,Ferret-badger,27,1.2
Orange-headed Thrush,1694,Orange-headed Thrush,8,0.5
Bird,985,Bird,4,0.4
Squirrel,964,Squirrel,0,0.0
Stump-tailed Macaque,723,Stump-tailed Macaque,63,8.7
Emerald Dove,722,Emerald Dove,0,0.0
Asian Red-cheeked Squirrel,616,Asian Red-cheeked Squirrel,4,0.6
Northern Treeshrew,553,Northern Treeshrew,2,0.4
Black-hooded Laughingthrush,481,Black-hooded Laughingthrush,1,0.2
Slaty-legged Crake,391,Slaty-legged Crake,0,0.0
Crab-eating Mongoose,379,Crab-eating Mongoose,7,1.8
Pallas's Squirrel,350,Pallas's Squirrel,1,0.3
Blue-rumped Pitta,320,Blue-rumped Pitta,1,0.3
Scaly Thrush,290,Scaly Thrush,0,0.0
Mammal,281,Mammal,0,0.0
Blue Whistling-thrush,259,Blue Whistling-thrush,4,1.5
Rufous-throated Partridge,215,Rufous-throated Partridge,29,13.5
Animal,215,Animal,0,0.0
Bat,184,Bat,0,0.0
Red Junglefowl,183,Red Junglefowl,0,0.0
Asian Palm Civet,168,Asian Palm Civet,0,0.0
Masked Palm Civet,167,Masked Palm Civet,9,5.4
Owston's Civet,160,Owston's Civet,131,81.9
Silver Pheasant,155,Silver Pheasant,5,3.2
Asiatic Brush-tailed Porcupine,151,Asiatic Brush-tailed Porcupine,4,2.6
Rhesus Macaque,147,Rhesus Macaque,0,0.0
Northern Red Muntjac,146,Northern Red Muntjac,3,2.1
Domestic Dog,143,Domestic Dog,0,0.0
Rusty-naped Pitta,142,Rusty-naped Pitta,0,0.0
Bar-bellied Pitta,138,Bar-bellied Pitta,10,7.2
Crested Argus,123,Crested Argus,0,0.0
Annamite Dark Muntjac,118,Annamite Dark Muntjac,35,29.7
Blue Pitta,108,Blue Pitta,0,0.0
Leopard Cat,108,Leopard Cat,0,0.0
White-gorgeted Flycatcher,94,White-gorgeted Flycatcher,0,0.0
Flying Insect,87,Flying Insect,0,0.0
Siamese Fireback,84,Siamese Fireback,0,0.0
Domestic Buffalo,83,Domestic Buffalo,0,0.0
Malayan Night Heron,77,Malayan Night Heron,0,0.0
Wild Pig,73,Wild Pig,0,0.0
Northern Pig-tailed Macaque,69,Northern Pig-tailed Macaque,0,0.0
Chestnut-eared Laughingthrush,64,Chestnut-eared Laughingthrush,0,0.0
Large Niltava,54,Large Niltava,1,1.9
Yellow-throated Marten,54,Yellow-throated Marten,4,7.4
Spotted Linsang,53,Spotted Linsang,2,3.8
Leopoldamys,49,Leopoldamys,0,0.0
Rufous-tailed Robin,46,Rufous-tailed Robin,0,0.0
Crested Serpent Eagle,43,Crested Serpent Eagle,0,0.0
Maxomys,36,Maxomys,4,11.1
Chinese Serow,35,Chinese Serow,0,0.0
Bar-backed Partridge,33,Bar-backed Partridge,0,0.0
