id,class,order,family,genus,species,authority,commonNameEnglish,taxonomyType,uniqueIdentifier,FFI_species_name
2002045,Mammalia,Primates,Hominidae,Homo,sapiens,"Linnaeus, 1758",Human,biological,990ae9dd-7a59-4344-afcb-1b7b21368000,Human
2002596,Mammalia,Carnivora,Mustelidae,Martes,flavigula,"Boddaert, 1785",Yellow-throated Marten,biological,8d7dc39f-0fea-42fd-bc07-e95fde4bab06,Yellow-throated Marten
2012904,Aves,Passeriformes,Corvidae,Cissa,hypoleuca,"Salvadori & Giglioli, 1885",Indochinese Green Magpie,biological,d12f88ab-d7ce-4740-b111-5af70c352b63,Yellow-breasted Magpie
2021113,Aves,,,,,,Bird,biological,b1352069-a39c-4a84-a949-60044271c0c1,Bird
2003794,Mammalia,Carnivora,Viverridae,Paguma,larvata,"C.E.H. Smith, 1827",Masked Palm Civet,biological,05a177f4-8da4-400f-ad72-0a8437a1eea6,Masked Palm Civet
2015365,Aves,Passeriformes,Muscicapidae,Myophonus,caeruleus,"Scopoli, 1786",Blue Whistling-thrush,biological,65508ff3-d53d-4341-aeb9-0ac3b72011da,Blue Whistling-thrush
2012715,Aves,Passeriformes,Dicruridae,Dicrurus,annectens,"Hodgson, 1836",Crow-billed Drongo,biological,83bdb4cf-566f-489f-9a6c-877f0138305a,Crow-billed Drongo
2006500,Aves,Columbiformes,Columbidae,Chalcophaps,indica,"Linnaeus, 1758",Common Emerald Dove,biological,e6e39b90-f11c-415b-a01e-5beb550de1bb,Emerald Dove
2012886,Aves,Passeriformes,Corvidae,Crypsirina,temia,"Daudin, 1800",Racquet-tailed Treepie,biological,029c8784-8b87-4adf-aab4-e1d93cd29b10,Racket-tailed Treepie
2009699,Aves,Piciformes,Picidae,Micropternus,brachyurus,"Vieillot, 1818",Rufous Woodpecker,biological,82aaae23-ea59-4f12-bdbb-79f0e067ae72,Rufous Woodpecker
2008596,Aves,Strigiformes,Strigidae,Glaucidium,cuculoides,"Vigors, 1831",Asian Barred Owlet,biological,4c73f9a9-63fc-463f-a7a4-dae475074bc4,Asian Barred Owlet
