project_id,deployment_id,subproject_name,subproject_design,placename,longitude,latitude,start_date,end_date,event_name,event_description,event_type,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,recorded_by,plot_treatment,plot_treatment_description,detection_distance
,,,,,,,,,,,,,,,,,,,,,,,,,,
KONPLONG19-20,KONPLONG1920-59-68824,Phase 01,,KONPLONG1920-59-68824,108.17440595,14.99425151,2019-04-24 14:30:00,2019-08-04 13:10:00,,,,None,,None,,CAM68824,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-59-68704,Phase 01,,KONPLONG1920-59-68704,108.17446287,14.9941619,2019-04-24 14:43:00,2019-08-05 18:44:00,,,,None,,None,,CAM68704,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-60-68885,Phase 01,,KONPLONG1920-60-68885,108.19699827,14.99748421,2019-04-24 12:19:00,2019-07-31 22:11:00,,,,None,,None,,CAM68885,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-60-67170,Phase 01,,KONPLONG1920-60-67170,108.19710141,14.99741323,2019-04-24 12:16:00,2019-06-13 7:00:00,,,,None,,None,,CAM67170,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-61-68966,Phase 01,,KONPLONG1920-61-68966,108.2204306,14.99404139,2019-04-25 12:19:00,2019-08-08 7:43:00,,,,None,,None,,CAM68966,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-61-68837,Phase 01,,KONPLONG1920-61-68837,108.22053327,14.99400651,2019-04-25 12:23:00,2019-07-03 2:49:00,,,,None,,None,,CAM68837,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-78-68916,Phase 01,,KONPLONG1920-78-68916,108.17064153,14.96961162,2019-05-01 11:04:00,2019-08-01 0:00:00,,,,None,,None,,CAM68916,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-78-68969,Phase 01,,KONPLONG1920-78-68969,108.17067845,14.96963014,2019-05-01 11:00:00,2019-08-15 14:05:00,,,,None,,None,,CAM68969,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-79-67081,Phase 01,,KONPLONG1920-79-67081,108.20180929,14.97049305,2019-04-27 14:11:00,2019-08-07 8:40:00,,,,None,,None,,CAM67081,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-79-66961,Phase 01,,KONPLONG1920-79-66961,108.20169993,14.97032913,2019-04-27 13:58:00,2019-07-31 20:54:00,,,,None,,None,,CAM66961,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-80-67127,Phase 01,,KONPLONG1920-80-67127,108.21580515,14.96874964,2019-04-27 13:52:00,2019-07-03 21:46:00,,,,None,,None,,CAM67127,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-80-68999,Phase 01,,KONPLONG1920-80-68999,108.21585125,14.9687773,2019-04-27 14:10:00,2019-07-30 23:33:00,,,,None,,None,,CAM68999,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-81-68836,Phase 01,,KONPLONG1920-81-68836,108.24339101,14.9715506,2019-04-23 15:30:00,2019-07-08 0:24:00,,,,None,,None,,CAM68836,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-81-66976,Phase 01,,KONPLONG1920-81-66976,108.24333608,14.97148671,2019-04-23 15:40:00,2019-07-27 10:27:00,,,,None,,None,,CAM66976,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-96-66983,Phase 01,,KONPLONG1920-96-66983,108.14792838,14.94769819,2019-04-30 13:32:00,2019-08-06 2:04:00,,,,None,,None,,CAM66983,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-96-68950,Phase 01,,KONPLONG1920-96-68950,108.147901,14.94766172,,2019-08-13 5:35:00,,,,None,,None,,CAM68950,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-97-69005,Phase 01,,KONPLONG1920-97-69005,108.16880866,14.95071276,2019-05-01 14:13:00,2019-08-03 10:50:00,,,,None,,None,,CAM69005,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-97-67072,Phase 01,,KONPLONG1920-97-67072,108.16893822,14.95075049,2019-05-01 14:10:00,2019-07-29 15:59:00,,,,None,,None,,CAM67072,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-98-67062,Phase 01,,KONPLONG1920-98-67062,108.19379999,14.94842023,2019-05-01 12:14:00,2019-07-23 20:34:00,,,,None,,None,,CAM67062,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-98-67102,Phase 01,,KONPLONG1920-98-67102,108.1937987,14.94851956,2019-05-01 12:25:00,2019-07-28 12:59:00,,,,None,,None,,CAM67102,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-99-67135,Phase 01,,KONPLONG1920-99-67135,108.21777345,14.94797305,2019-04-22 10:59:00,2019-08-03 21:09:00,,,,None,,None,,CAM67135,0,Unknown Failure,Knee height,,Parallel,,,,,
KONPLONG19-20,KONPLONG1920-99-66928,Phase 01,,KONPLONG1920-99-66928,108.21782895,14.9479918,2019-04-22 11:06:00,2019-04-28 10:17:00,,,,None,,None,,CAM66928,0,Unknown Failure,Knee height,,Parallel,,,,,
