project_id,deployment_id,image_id,location,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,highlighted,age,sex,animal_recognizable,individual_id,individual_animal_notes,markings,external_sequence_id
KONPLONG19-20,KPL-275-69008,275__69008__2019-04-26__21-22-34(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-04-26__21-22-34(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-04-26 21:22:34,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-04-26__21-22-59(2).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-04-26__21-22-59(2).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-04-26 21:22:59,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-04-26__21-24-00(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-04-26__21-24-00(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-04-26 21:24:00,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-05-01__21-14-10(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-05-01__21-14-10(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-05-01 21:14:10,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-05-01__21-14-31(2).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-05-01__21-14-31(2).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-05-01 21:14:31,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-05-31__19-52-37(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-05-31__19-52-37(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-05-31 19:52:37,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-09__00-11-11(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-09__00-11-11(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-09 00:11:11,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-09__00-11-33(2).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-09__00-11-33(2).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-09 00:11:33,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-11__00-47-07(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-11__00-47-07(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-11 00:47:07,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-15__01-36-21(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-15__01-36-21(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-15 01:36:21,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-15__01-37-06(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-15__01-37-06(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-15 01:37:06,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-24__04-05-12(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-24__04-05-12(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-24 04:05:12,2,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-24__04-05-43(2).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-24__04-05-43(2).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-24 04:05:43,3,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-24__04-06-24(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-24__04-06-24(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-24 04:06:24,2,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-26__00-12-50(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-26__00-12-50(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-26 00:12:50,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-26__00-13-11(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-26__00-13-11(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-26 00:13:11,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-26__00-39-38(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-26__00-39-38(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-26 00:39:38,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-26__00-40-00(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-26__00-40-00(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-26 00:40:00,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-26__01-10-47(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-26__01-10-47(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-26 01:10:47,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-26__20-01-01(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-26__20-01-01(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-26 20:01:01,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-26__22-44-52(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-26__22-44-52(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-26 22:44:52,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-26__22-45-14(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-26__22-45-14(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-26 22:45:14,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-27__21-34-37(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-27__21-34-37(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-27 21:34:37,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-27__23-41-16(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-27__23-41-16(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-27 23:41:16,1,,,,,,,,
KONPLONG19-20,KPL-275-69008,275__69008__2019-06-28__02-12-14(1).JPG,gs://ffi_vietnam/KONPLONG19-20/275__69008__2019-06-28__02-12-14(1).JPG,Tam Nguyen,ba799fc7-6aad-455e-87a8-1f09ad5c71e4,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Absolutely sure,2019-06-28 02:12:14,1,,,,,,,,
